#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -129.931676890  -52.654933526
   -2.951193099 -138.111035327  -32.986988133
   -2.760793544 -142.474669424  -13.499924343
   -2.570393989 -143.559890291    0.817494698
   -2.379994435 -142.658216531    7.143352323
   -2.189594880 -141.342918630    5.468126653
   -1.999195325 -140.896697145   -1.224282294
   -1.808795770 -141.797183820   -7.720786503
   -1.618396215 -143.479715182   -8.747376304
   -1.427996661 -144.583260032   -1.536775298
   -1.237597106 -143.619233448   12.393407748
   -1.047197551 -139.731814033   28.128566912
   -0.856797996 -133.137152529   39.964128065
   -0.666398442 -124.998677926   43.893272300
   -0.475998887 -116.975685094   38.779547794
   -0.285599332 -110.705627953   25.805211322
   -0.095199777 -107.470145138    7.385337399
    0.095199777 -108.015031570  -13.315737189
    0.285599332 -112.403490885  -32.177482155
    0.475998887 -119.809829486  -44.073661056
    0.666398442 -128.401048392  -43.935707394
    0.856797996 -135.562316267  -28.949095557
    1.047197551 -138.565152774   -1.047858112
    1.237597106 -135.577631789   32.416816174
    1.427996661 -126.525857139   60.841102762
    1.618396215 -113.346337367   74.434654882
    1.808795770  -99.437304933   68.215560381
    1.999195325  -88.527270746   43.767619001
    2.189594880  -83.459565462    8.402589085
    2.379994435  -85.359867815  -27.700639143
    2.570393989  -93.439093427  -55.161235996
    2.760793544 -105.438511667  -68.319371824
    2.951193099 -118.477242612  -66.335471368
