#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  21
#! SET periodic_phi true
   -3.141592654 -123.224278972  -45.395522615
   -2.842393353 -134.969541124  -31.425596646
   -2.543194053 -142.034103752  -14.137198558
   -2.243994753 -144.805473519   -3.253899159
   -1.944795452 -145.167926966   -0.115028868
   -1.645596152 -144.383300557    5.194622137
   -1.346396852 -141.335254794   16.053373871
   -1.047197551 -134.462887388   29.679162908
   -0.747998251 -124.247911247   36.646924311
   -0.448798951 -114.137003096   28.677262065
   -0.149599650 -108.911900399    6.789800186
    0.149599650 -111.066139152  -18.946378158
    0.448798951 -119.233431490  -32.391317341
    0.747998251 -128.088681276  -23.349131592
    1.047197551 -131.341390308    3.545795842
    1.346396852 -125.875408057   32.584118718
    1.645596152 -113.853117701   46.271349554
    1.944795452 -101.250104560   34.973130022
    2.243994753  -94.863066831    5.517882158
    2.543194053  -98.057495535  -26.222739633
    2.842393353 -109.194094149  -45.320854782
