#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  242
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  93
#! SET periodic_psi true
   -3.141592654   -3.141592654   46.628566573   51.404361522  -14.791133517
   -3.115629078   -3.141592654   47.956804488   49.616072986  -14.870675596
   -3.089665502   -3.141592654   49.222335040   47.311982819  -14.912509591
   -3.063701927   -3.141592654   50.414082513   43.613118914  -14.903476194
   -3.037738351   -3.141592654   51.506695198   39.589087274  -14.944093574
   -3.011774775   -3.141592654   52.487482911   35.035677795  -15.011584129
   -2.985811200   -3.141592654   53.355450802   30.691230629  -15.088011642
   -2.959847624   -3.141592654   54.105081788   26.651286898  -15.249753059
   -2.933884048   -3.141592654   54.755069866   23.357251538  -15.401395514
   -2.907920473   -3.141592654   55.345706218   21.064350531  -15.624725396
   -2.881956897   -3.141592654   55.870318118   19.250356016  -15.980557884
   -2.855993321   -3.141592654   56.351350097   17.495506582  -16.337861726
   -2.830029746   -3.141592654   56.791944960   15.700698380  -16.754988531
   -2.804066170   -3.141592654   57.177164503   13.602939153  -17.157387867
   -2.778102594   -3.141592654   57.509322087   10.972993154  -17.485001748
   -2.752139019   -3.141592654   57.768121595    8.141754297  -17.708605475
   -2.726175443   -3.141592654   57.929145117    4.846371507  -17.864768599
   -2.700211868   -3.141592654   58.025817801    2.067500020  -17.926708550
   -2.674248292   -3.141592654   58.070095521    0.055389387  -18.030009706
   -2.648284716   -3.141592654   58.055539920   -1.369328708  -18.035184690
   -2.622321141   -3.141592654   58.007909645   -1.565227229  -17.986319604
   -2.596357565   -3.141592654   57.968086250   -1.534126507  -18.114108274
   -2.570393989   -3.141592654   57.933463535   -0.915325314  -18.308076974
   -2.544430414   -3.141592654   57.906453040   -0.799039023  -18.528552457
   -2.518466838   -3.141592654   57.882040638   -1.251284956  -18.849262014
   -2.492503262   -3.141592654   57.839480604   -2.353656821  -19.226421997
   -2.466539687   -3.141592654   57.757665430   -3.841893892  -19.501888250
   -2.440576111   -3.141592654   57.633203022   -6.052454519  -19.767720933
   -2.414612535   -3.141592654   57.440655559   -8.449094783  -19.950070411
   -2.388648960   -3.141592654   57.185769261  -10.631545272  -19.973171315
   -2.362685384   -3.141592654   56.899480106  -12.196330728  -19.933305915
   -2.336721808   -3.141592654   56.570668608  -13.075124957  -19.724389749
   -2.310758233   -3.141592654   56.223141357  -13.384947118  -19.480850345
   -2.284794657   -3.141592654   55.864238826  -13.369651180  -19.262997116
   -2.258831082   -3.141592654   55.520720956  -13.033415216  -19.119963689
   -2.232867506   -3.141592654   55.178130508  -12.676347020  -19.068225895
   -2.206903930   -3.141592654   54.841417267  -12.486828813  -19.145082861
   -2.180940355   -3.141592654   54.526045792  -12.428280514  -19.296500312
   -2.154976779   -3.141592654   54.204887902  -12.240582016  -19.595483474
   -2.129013203   -3.141592654   53.881995173  -12.020301916  -19.900349171
   -2.103049628   -3.141592654   53.575779610  -11.871615437  -20.285000983
   -2.077086052   -3.141592654   53.261607740  -11.476799272  -20.628012632
   -2.051122476   -3.141592654   52.967839655  -11.117966009  -20.840771123
   -2.025158901   -3.141592654   52.690609372  -10.376175898  -20.847735522
   -1.999195325   -3.141592654   52.429269889   -9.461005428  -20.848682951
   -1.973231749   -3.141592654   52.188473946   -8.782995395  -20.682175766
   -1.947268174   -3.141592654   51.974902371   -7.920490836  -20.428796131
   -1.921304598   -3.141592654   51.773087341   -7.392392144  -20.199568672
   -1.895341022   -3.141592654   51.583157052   -7.093041795  -20.016335655
   -1.869377447   -3.141592654   51.405289581   -6.805642605  -19.807183212
   -1.843413871   -3.141592654   51.220764255   -6.765451460  -19.644192748
   -1.817450295   -3.141592654   51.048509939   -6.987423845  -19.572331630
   -1.791486720   -3.141592654   50.856734498   -6.973656020  -19.587623610
   -1.765523144   -3.141592654   50.666308106   -7.195266585  -19.763720495
   -1.739559569   -3.141592654   50.476921823   -7.494945616  -20.027098027
   -1.713595993   -3.141592654   50.282484785   -7.309489031  -20.349180122
   -1.687632417   -3.141592654   50.097905340   -6.784578286  -20.689449847
   -1.661668842   -3.141592654   49.922988732   -5.939653333  -21.092745195
   -1.635705266   -3.141592654   49.780822736   -4.910024131  -21.455734965
   -1.609741690   -3.141592654   49.668912912   -3.752244380  -21.962624546
   -1.583778115   -3.141592654   49.576470569   -2.987018187  -22.357030421
   -1.557814539   -3.141592654   49.505225750   -2.316332572  -22.730115702
   -1.531850963   -3.141592654   49.443697714   -2.564907266  -23.137138049
   -1.505887388   -3.141592654   49.364382888   -3.421967150  -23.622799615
   -1.479923812   -3.141592654   49.241562986   -5.566389615  -24.140502577
   -1.453960236   -3.141592654   49.060588201   -8.355804684  -24.706377051
   -1.427996661   -3.141592654   48.796288885  -11.324279613  -25.430108670
   -1.402033085   -3.141592654   48.448624080  -14.591423931  -26.173399216
   -1.376069509   -3.141592654   48.025314087  -17.768383287  -27.077269999
   -1.350105934   -3.141592654   47.525715894  -20.025491234  -28.020631208
   -1.324142358   -3.141592654   46.979286815  -22.065466800  -28.970853759
   -1.298178782   -3.141592654   46.369596215  -23.352640579  -29.808669534
   -1.272215207   -3.141592654   45.743325943  -24.307571596  -30.590113368
   -1.246251631   -3.141592654   45.086576682  -25.248783392  -31.331323460
   -1.220288056   -3.141592654   44.411345435  -25.951982457  -32.101317299
   -1.194324480   -3.141592654   43.717493230  -26.821035018  -32.829090944
   -1.168360904   -3.141592654   43.006066646  -27.717439047  -33.761044564
