#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654   14.315857075  -53.154061718
   -2.951193099    6.051554744  -33.365085923
   -2.760793544    1.633433348  -13.683725620
   -2.570393989    0.534859083    0.864591134
   -2.379994435    1.467349462    7.416749055
   -2.189594880    2.853034930    5.926348481
   -1.999195325    3.398134600   -0.658094925
   -1.808795770    2.607943231   -7.145929208
   -1.618396215    1.027304103   -8.265770309
   -1.427996661    0.000000000   -1.224512239
   -1.237597106    1.004970056   12.513726614
   -1.047197551    4.899277541   28.090551546
   -0.856797996   11.476712996   39.832886876
   -0.666398442   19.586235711   43.728167364
   -0.475998887   27.576999751   38.607812121
   -0.285599332   33.813402629   25.620562473
   -0.095199777   37.010896686    7.168466670
    0.095199777   36.420919900  -13.570168883
    0.285599332   31.982174660  -32.444086362
    0.475998887   24.528133152  -44.296487202
    0.666398442   15.903868262  -44.047677346
    0.856797996    8.735845513  -28.901491526
    1.047197551    5.758070418   -0.834148684
    1.237597106    8.798839246   32.752551702
    1.427996661   17.919916758   61.219341198
    1.618396215   31.168545358   74.769931815
    1.808795770   45.131904558   68.443907441
    1.999195325   56.072318788   43.855867533
    2.189594880   61.142475514    8.341241681
    2.379994435   59.216069681  -27.912095872
    2.570393989   51.082739779  -55.514828681
    2.760793544   39.004300745  -68.788627704
    2.951193099   25.869497667  -66.862541095
